id,chapter,section,page_number,content,keywords,medical_category,age_group,created_at,updated_at
1,Chapter Unknown,General,150,"Hormonally driven physiologic changes and ongoing neurologic development occur in the setting of social structures that foster the transition
from childhood to adulthood. This period of development comprises
adolescence, which is divided into three phases—early, middle, and
late adolescence—each marked by a characteristic set of biologic, cognitive, and psychosocial milestones (Table 150.1). Although individual
variations in the timing and pace of development undoubtedly exist,
these changes follow a predictable pattern of occurrence. Gender and
culture profoundly affect the developmental course, as do physical,
social, and environmental influences (Fig. 150.1). Given the interaction of these domains, a biopsychosocial perspective is best suited to
approach the healthcare of the adolescent.",adolescent|child|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
2,Chapter Unknown,"During the preteen, teenage, and young adult years, young people",200,"Adolescent Physical and
Social Development
Cynthia M. Holland-­Hall and
Maria D. Brown
See also Part XXIV and Chapters 599 and 600.
During the preteen, teenage, and young adult years, young people
undergo not only dramatic changes in physical appearance but also
rapid changes in physiologic, psychologic, and social functioning.",adolescent|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
3,Chapter Unknown,General,250,"Puberty is the biologic transition from childhood to adulthood. Pubertal changes include the appearance of the secondary sexual characteristics, increase in height, change in body composition, and development",child|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
4,Chapter Unknown,General,300,"• Females: peak growth velocity,
menarche (if not already attained)
• Males: growth spurt, secondary
sex characteristics, nocturnal
emissions, facial and body hair,
voice changes
• Change in body composition
• Acne",growth,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
5,Chapter Unknown,General,350,"the life course. During adolescence, social determinants from outside
the family become greater, with major influences of peers, media, education, and the beginning of workplace influences. Community and
structural determinants remain consistently influential, as shown by the
background shading. (From Patton GC, Sawyer SM, Santelli JS, et al.
Our future: a Lancet commission on adolescent health and wellbeing.
Lancet. 2016;387:2423–2478, Fig. 2.)",adolescent,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
6,Chapter Unknown,General,400,"of reproductive capacity. Two principal physiologic events occur
during puberty: adrenarche and gonadarche. Adrenal androgen production, chiefly dehydroepiandrosterone sulfate (DHEAS), rises in
response to adrenocorticotropic hormone (ACTH). Increases in serum
concentrations of DHEAS result in the development of adult-­like body
odor and faint genital hair (adrenarche), occurring as early as 6-­8 years
of age. Gonadal sex steroid production occurs with activation of the
hypothalamic-­pituitary-­gonadal (HPG) axis (gonadarche). Maturation of the gonadotropin-­releasing hormone (GnRH) pulse generator
is among the earliest neuroendocrine changes associated with the onset
of puberty. Under the influence of GnRH, the pituitary gland secretes
luteinizing hormone (LH) and follicle-­stimulating hormone (FSH);
initially this occurs in a pulsatile fashion primarily during sleep, but
this diurnal variation diminishes throughout puberty. LH and FSH
stimulate corresponding increases in gonadal androgens and estrogens. The triggers for these changes are incompletely understood. The
activation of the HPG axis may be mediated by increasing adiposity
and associated insulin resistance, hyperinsulinemia, elevated androgens, and leptin. Both genetic and environmental (epigenetic) factors
contribute to the regulation of pubertal timing.",hyperinsulinemia|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
7,Chapter Unknown,General,450,"The progression of the development of the secondary sex characteristics may be described using the sexual maturity rating (SMR) scale
(ranging from 1, prepubertal, to 5, fully mature adolescent) or Tanner
stages. Figures 150.2 and 150.3 depict the physical findings of breast
and pubic hair maturation at each SMR (Tables 150.2 and 150.3).
Although the ages at which individual pubertal changes occur may
vary, the timing and sequence of these changes relative to one another
is predictable (Figs. 150.4 and 150.5). The wide range of normal progress through sexual maturation is affected by genetics, the psychosocial environment, nutrition, and overall health status. Environmental
exposures may also play a role.
In males the first visible sign of puberty and the hallmark of SMR 2
is testicular enlargement, beginning as early as 9.5 years, followed by
the development of pubic hair. This is followed by penile growth during
SMR 3. Peak growth occurs when testis volumes reach approximately
9-­10 cm3 during SMR 4. Under the influence of LH and testosterone,
the seminiferous tubules, epididymis, seminal vesicles, and prostate",adolescent|growth|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
8,Chapter Unknown,General,500,"females (dashed line) who have their peak height velocity at the average age (i.e., average growth tempo). (From Tanner JM, Davies PSW.
Clinical longitudinal standards for height and height velocity for North
American children. J Pediatr. 1985;107:317.)",child|growth,Growth and Development,Pediatric,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
9,Chapter 660,"jaw growth, loss of the final deciduous teeth, and eruption of the permanent cuspids, premolars, and finally, molars (see Chapter 353).",550,"Because skeletal growth precedes muscle and tendon growth, sprains
and strains may be more common during this time as well.
Cardiovascular changes in middle adolescence include increased
heart size, higher blood pressure, and increases in blood volume and
hematocrit, particularly in males. Coupled with an increase in lung
vital capacity, these changes lead to greater aerobic capacity. Androgenic stimulation of sebaceous and apocrine glands may result in acne
and body odor. Rapid enlargement of the larynx, pharynx, and lungs
leads to changes in vocal quality in males, typically preceded by vocal
instability (voice cracking). Elongation of the optic globe may result in
the development of myopia (see Chapter 660). Dental changes include
jaw growth, loss of the final deciduous teeth, and eruption of the permanent cuspids, premolars, and finally, molars (see Chapter 353).
Orthodontic appliances may be needed, secondary to growth exacerbations of bite disturbances. Physiologic changes in sleep patterns and
increased sleep requirements occur, causing many adolescents to delay
sleep onset at night, with subsequent difficulty awakening for early
school start times in the morning (see Chapter 31). The mechanism of
delayed circadian rhythm has not been elucidated but likely involves
changes in both circadian and homeostatic sleep regulatory processes.",adolescent|growth|development,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
10,Chapter 720,65% of total body calcium is laid down during puberty. Bone growth,600,"composition changes as well after attainment of PHV. Males undergo
an increase in lean body mass (“strength spurt”), whereas females
develop a higher proportion of body fat. Scoliosis, if present, may progress with rapid axial skeleton growth (see Chapter 720.1). From 50% to
65% of total body calcium is laid down during puberty. Bone growth
precedes increases in bone mineralization and bone density, which may
increase the adolescent’s risk of fracture during times of rapid growth.",scoliosis|adolescent|growth,Adolescent Medicine,Adolescent,2025-07-21T09:57:47.362495Z,2025-07-21T09:57:47.362495Z
